penalized_logP_mean,penalized_logP_med,penalized_logP_min,penalized_logP_max,penalized_logP_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
-6.692315384615385,-6.692315384615385,-6.692315384615385,-6.692315384615385,0.0,-6.692315384615385,-6.692315384615385,-6.692315384615385,-6.692315384615385,0.0,0,0,0.003061532974243164,0,0,0,0,0,0,0,0
-5.056645497936234,-5.056645497936234,-6.692315384615385,-3.420975611257084,1.6356698866791504,-5.056645497936234,-5.056645497936234,-6.692315384615385,-3.420975611257084,1.6356698866791504,1,1,0.030480623245239258,0,0,3,0,0,0,0,0
-3.5752047853658904,-2.943567918949392,-6.692315384615385,-1.7213679189493913,1.8978182267159112,-3.5752047853658904,-2.943567918949392,-6.692315384615385,-1.7213679189493913,1.8978182267159112,3,2,1.0646789073944092,0,0,9,0,0,0,0,0
-2.922918810501276,-2.3282794574109307,-6.692315384615385,-1.1362339617119062,1.6792934122472802,-2.922918810501276,-2.3282794574109307,-6.692315384615385,-1.1362339617119062,1.6792934122472802,7,4,1.0907466411590576,0,0,1,0,0,0,0,0
-2.774569454765675,-2.1903986881801605,-6.692315384615385,-1.1362339617119062,1.4383999248114605,-2.774569454765675,-2.1903986881801605,-6.692315384615385,-1.1362339617119062,1.4383999248114605,12,5,1.1325962543487549,0,0,7,0,0,0,0,0
-2.7085665865411332,-2.206735555715264,-6.692315384615385,-1.1362339617119062,1.352464865230449,-2.7085665865411332,-2.206735555715264,-6.692315384615385,-1.1362339617119062,1.352464865230449,17,5,1.1711266040802002,0,0,6,0,0,0,0,0
-2.4057285217034705,-2.102133961711906,-6.692315384615385,-0.6523538156987505,1.3541001221101177,-2.4057285217034705,-2.102133961711906,-6.692315384615385,-0.6523538156987505,1.3541001221101177,22,5,1.2099244594573975,0,0,7,0,0,0,0,0
-2.33121194402177,-2.1193339617119062,-6.692315384615385,-0.6421883822883632,1.2840799283570978,-2.33121194402177,-2.1193339617119062,-6.692315384615385,-0.6421883822883632,1.2840799283570978,27,5,1.2620224952697754,0,0,5,0,0,0,0,0
-2.206706768683055,-2.0565722712334935,-6.692315384615385,-0.6421883822883632,1.2305726359799398,-2.206706768683055,-2.0565722712334935,-6.692315384615385,-0.6421883822883632,1.2305726359799398,32,5,1.310319185256958,0,0,5,0,0,0,0,0
-2.0908657360739857,-1.9693954241650076,-6.692315384615385,0.20067695353202097,1.2379561990736911,-2.0908657360739857,-1.9693954241650076,-6.692315384615385,0.20067695353202097,1.2379561990736911,37,5,1.3858275413513184,0,0,21,0,0,0,0,0
-2.1001072298355923,-1.9131083822883626,-6.692315384615385,0.20067695353202097,1.2112220189364202,-2.1001072298355923,-1.9131083822883626,-6.692315384615385,0.20067695353202097,1.2112220189364202,42,5,1.4394233226776123,0,0,8,0,0,0,0,0
