qed_mean,qed_med,qed_min,qed_max,qed_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.3597849378839701,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.0,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.3597849378839701,0.0,0,0,0.00938272476196289,0,0,0,0,0,0,0,0
0.3662852465207876,0.3662852465207876,0.3597849378839701,0.3727855551576051,0.006500308636817498,0.3662852465207876,0.3662852465207876,0.3597849378839701,0.3727855551576051,0.006500308636817498,1,1,0.0228121280670166,0,0,4,0,0,0,0,0
0.3819610980186235,0.36903434175163996,0.3597849378839701,0.429990770687244,0.02811128240661925,0.3819610980186235,0.36903434175163996,0.3597849378839701,0.429990770687244,0.02811128240661925,3,2,0.07542157173156738,0,0,1,0,0,0,0,0
0.3927730284506378,0.3820676908300636,0.3597849378839701,0.447387643084952,0.02948480948515881,0.3927730284506378,0.3820676908300636,0.3597849378839701,0.447387643084952,0.02948480948515881,7,4,0.09371519088745117,0,0,1,0,0,0,0,0
0.3967700167562856,0.38528440447384316,0.3597849378839701,0.454269072143213,0.029914063391618242,0.3967700167562856,0.38528440447384316,0.3597849378839701,0.454269072143213,0.029914063391618242,12,5,0.11950993537902832,0,0,2,0,0,0,0,0
0.404553541306591,0.3996601507886307,0.3597849378839701,0.4655191344262667,0.03166249702825777,0.404553541306591,0.3996601507886307,0.3597849378839701,0.4655191344262667,0.03166249702825777,17,5,0.15414762496948242,0,0,3,0,0,0,0,0
0.4062225418571642,0.3983495485535574,0.35913068590848196,0.49025297206668045,0.03527464066587054,0.4062225418571642,0.3983495485535574,0.35913068590848196,0.49025297206668045,0.03527464066587054,22,5,0.17922091484069824,0,0,3,0,0,0,0,0
0.4160125069234623,0.4076282613565798,0.35913068590848196,0.5124148721749513,0.042190609480883504,0.4160125069234623,0.4076282613565798,0.35913068590848196,0.5124148721749513,0.042190609480883504,27,5,0.21236133575439453,0,0,6,0,0,0,0,0
0.42503286905523696,0.4132813626628286,0.35913068590848196,0.5522705698066268,0.04841846759263978,0.42503286905523696,0.4132813626628286,0.35913068590848196,0.5522705698066268,0.04841846759263978,32,5,0.25008392333984375,0,0,9,0,0,0,0,0
0.4265208264746013,0.4167067074855213,0.35913068590848196,0.5522705698066268,0.047030814825511386,0.4265208264746013,0.4167067074855213,0.35913068590848196,0.5522705698066268,0.047030814825511386,37,5,0.2881202697753906,0,0,12,0,0,0,0,0
0.4328211771058941,0.4310243576713091,0.35913068590848196,0.5522705698066268,0.04784845837743604,0.4328211771058941,0.4310243576713091,0.35913068590848196,0.5522705698066268,0.04784845837743604,42,5,0.31572866439819336,0,0,4,0,0,0,0,0
